"household_type","job_dep","work_condition","DEGREE","Employer_category","JOB_CATEGORY","Job_description","type_of_contract","working_hours","employee_count","INSEE_CODE","Age_2019","activity_sector","Sex","Wage"
"M_4_1","01","C","educ|1|2","ct_6","A","674c","APP",1743,"tr_5","38454",20,"CK","Male",10941
"M_3_1","45","C","educ|1|2","ct_9","O","473a","CDI",1984,"tr_5","45253",43,"CM","Male",29956
"M_1_1","14","C","educ|1|2","ct_9","O","641a","CDI",1365,"tr_1","50491",53,"GZ","Male",12567
"M_3_2","51","C","educ|1|2","ct_7","O","563c","CDI",297,"tr_1","51454",54,"TZ","Female",3777
"M_4_1","57","P","educ|1|2","ct_1","X","564b","AUT",309,"tr_6","57463",61,"PZ","Female",11205
"M_4_3","57","P","educ|1|2","ct_9","O","684a","CDI",1404,"tr_5","57463",59,"NZ","Female",12091
"M_4_1","59","P","educ|1|2","ct_6","O","676c","CDI",1508,"tr_1","59183",53,"MA","Female",11021
"M_4_3","59","C","educ|1|2","ct_9","O","542a","CDI",1826,"tr_5","59299",59,"CE","Female",36650
"M_1_2","59","P","educ|1|2","ct_9","O","552a","CDI",1771,"tr_4","59378",50,"GZ","Female",17323
"M_1_1","59","C","educ|1|2","ct_9","O","673c","CDI",1743,"tr_6","59421",55,"CL","Male",19419
"M_4_2","59","C","educ|1|2","ct_9","O","461c","CDI",1834,"tr_5","59524",41,"CE","Male",22630
"M_4_1","60","C","educ|1|2","ct_8","O","526a","CDI",1820,"tr_4","60509",39,"QB","Female",16690
"M_1_1","60","C","educ|1|2","ct_9","O","685a","CDI",2029,"tr_4","60628",56,"CM","Male",16686
"M_4_1","62","F","educ|1|2","ct_9","O","641b","CDI",517,"tr_5","62193",56,"HZ","Male",5064
"M_4_1","62","C","educ|1|2","ct_9","O","543g","CDI",1827,"tr_5","62688",37,"CC","Female",19837
"M_4_1","62","C","educ|1|2","ct_9","O","625c","CDI",1771,"tr_2","62758",33,"CG","Male",23704
"M_4_1","64","C","educ|1|2","ct_9","O","543b","CDI",1820,"tr_3","64445",38,"NZ","Male",21719
"M_3_2","66","P","educ|1|2","ct_3","O","523d","AUT",1455,"tr_6","66227",37,"QA","Female",17629
"M_3_2","67","C","educ|1|2","ct_6","A","631a","APP",674,"tr_2","67218",20,"CM","Male",5345
"M_4_1","67","C","educ|1|2","ct_9","O","627a","CDI",1922,"tr_5","67482",43,"CB","Male",24543
"M_4_1","69","C","educ|1|2","ct_9","O","376b","CDI",1637,"tr_5","69204",57,"JC","Female",35345
"M_4_1","69","C","educ|1|2","ct_9","O","372c","CDI",2200,"tr_2","69386",57,"MA","Female",48602
"M_4_1","69","C","educ|1|2","ct_6","O","554a","CDI",1820,"tr_1","69389",41,"GZ","Female",25399
"M_4_1","77","C","educ|1|2","ct_9","O","526b","CDI",1820,"tr_3","77233",61,"QA","Female",25397
"M_4_1","13","C","educ|1|2","ct_1","O","532c","AUT",1594,"tr_6","83067",24,"OZ","Male",17891
"M_2_0","83","C","educ|1|2","ct_9","A","691c","APP",1819,"tr_1","83102",16,"GZ","Male",3841
"M_3_1","83","P","educ|1|2","ct_6","O","632a","CDI",611,"tr_0","83141",50,"FZ","Male",11708
"M_4_3","75","P","educ|1|2","ct_9","O","543b","CDI",656,"tr_1","92026",60,"GZ","Female",13426
"M_4_1","94","C","educ|1|2","ct_9","O","554e","CDI",1820,"tr_1","94042",55,"GZ","Female",17563
"M_3_2","95","C","educ|1|2","ct_1","A","524b","APP",303,"tr_6","95018",19,"OZ","Female",4183
"M_1_2","75","C","educ|1|2","ct_9","O","635a","CDI",2028,"tr_1","95323",51,"CB","Female",25587
"M_4_1","92","C","educ|1|2","ct_9","O","543b","CDI",2102,"tr_5","95563",30,"MA","Female",30456
"M_1_2","69","P","educ|1|3","ct_2","O","524c","CDD",1129,"tr_6","01004",27,"OZ","Female",13865
"M_2_0","01","C","educ|1|3","ct_9","O","632c","CDI",1614,"tr_3","01304",32,"FZ","Male",24680
"M_4_1","02","P","educ|1|3","ct_6","O","561d","CDI",1198,"tr_3","02373",20,"IZ","Female",11272
"M_4_1","13","P","educ|1|3","ct_5","O","479a","CDI",1414,"tr_6","06004",58,"MB","Male",24855
"M_3_1","06","C","educ|1|3","ct_9","O","636d","CDI",1767,"tr_0","06088",26,"IZ","Male",19600
"M_4_1","12","P","educ|1|3","ct_8","O","563b","CDI",1599,"tr_1","12145",58,"QB","Female",12816
"M_4_1","13","C","educ|1|3","ct_3","O","525d","AUT",1820,"tr_6","13092",51,"QA","Male",16809
"M_4_1","13","C","educ|1|3","ct_9","O","623b","CDI",2200,"tr_4","13097",53,"CH","Male",35830
"M_1_2","13","F","educ|1|3","ct_8","O","431f","CDI",604,"tr_6","13104",27,"QA","Female",7600
"M_4_1","13","C","educ|1|3","ct_9","O","684a","CDI",2001,"tr_6","13213",52,"NZ","Male",19595
"M_4_1","21","D","educ|1|3","ct_7","O","563a","CDI",2773,"tr_1","21054",32,"QB","Female",12393
"M_4_1","25","C","educ|1|3","ct_9","O","552a","CDI",1775,"tr_4","25056",54,"GZ","Female",14116
"M_3_1","27","P","educ|1|3","ct_6","O","564b","CDI",522,"tr_1","27229",43,"IZ","Male",3530
"M_4_1","29","C","educ|1|3","ct_9","O","526e","CDI",1913,"tr_1","29019",45,"QA","Male",17611
"M_4_1","29","C","educ|1|3","ct_8","O","562b","CDI",1819,"tr_1","29174",30,"SZ","Female",15832
"M_4_1","30","P","educ|1|3","ct_3","O","523d","CDI",1320,"tr_6","30047",52,"QA","Female",11743
"M_4_1","30","C","educ|1|3","ct_6","O","526b","CDI",2426,"tr_1","30189",38,"QA","Female",29655
"M_4_2","30","C","educ|1|3","ct_8","O","691d","CDI",369,"tr_0","30258",28,"NZ","Male",3092
"M_4_1","77","C","educ|1|3","ct_9","O","477c","CDI",1908,"tr_3","30334",49,"GZ","Male",45723
"M_4_1","31","C","educ|1|3","ct_1","O","524b","CDI",1820,"tr_5","31162",39,"PZ","Female",15928
"M_3_2","31","C","educ|1|3","ct_8","O","525b","CDI",1854,"tr_4","31411",41,"PZ","Female",13662
"M_4_3","31","C","educ|1|3","ct_9","O","526d","CDI",1745,"tr_3","31555",41,"QB","Female",16022
"M_4_1","31","C","educ|1|3","ct_9","O","632a","CDI",2034,"tr_6","31555",32,"CH","Male",18106
"M_4_3","31","P","educ|1|3","ct_8","O","525d","CDI",1560,"tr_3","31555",52,"QB","Female",14101
"M_4_2","31","P","educ|1|3","ct_2","O","524c","CDI",1183,"tr_4","31566",35,"OZ","Male",7929
"M_4_1","33","C","educ|1|3","ct_9","O","632j","CDI",2035,"tr_1","33032",47,"FZ","Male",21966
"M_1_2","33","C","educ|1|3","ct_8","O","526a","CDI",1851,"tr_3","33056",53,"QB","Female",24546
"M_4_1","33","C","educ|1|3","ct_9","O","525d","CDI",368,"tr_3","33058",55,"QB","Female",3772
"M_4_1","33","P","educ|1|3","ct_2","O","563a","AUT",1081,"tr_6","33063",51,"QB","Female",13047
"M_4_1","33","C","educ|1|3","ct_6","O","675b","CDI",1800,"tr_1","33063",53,"CC","Male",13395
"M_1_1","33","C","educ|1|3","ct_9","O","623a","CDI",1889,"tr_3","33069",59,"CH","Male",20570
"M_4_1","33","C","educ|1|3","ct_8","O","545d","CDI",1820,"tr_5","33119",50,"OZ","Female",26996
"M_4_2","33","C","educ|1|3","ct_9","O","632f","CDI",1821,"tr_2","33140",31,"FZ","Male",20791
"M_4_1","33","C","educ|1|3","ct_9","O","481a","CDI",2200,"tr_3","33162",56,"FZ","Male",47205
"M_4_1","33","K","educ|1|3","ct_9","O","676c","TTP",1252,"tr_6","33448",26,"NZ","Male",16805
"M_3_2","33","C","educ|1|3","ct_9","O","467b","CDI",171,"tr_5","33550",61,"KZ","Female",8325
"M_4_1","34","P","educ|1|3","ct_9","O","632g","CDI",513,"tr_2","34116",41,"FZ","Male",5589
"M_3_2","34","P","educ|1|3","ct_8","O","563c","CDD",1334,"tr_3","34129",34,"QB","Female",10371
"M_4_2","13","C","educ|1|3","ct_1","O","532c","AUT",456,"tr_6","34259",21,"OZ","Male",3224
"M_4_1","34","P","educ|1|3","ct_9","O","542a","CDI",1295,"tr_0","34337",55,"MA","Female",27484
"M_4_1","35","C","educ|1|3","ct_9","O","632k","CDI",1309,"tr_6","35023",61,"HZ","Male",31657
"M_1_1","35","P","educ|1|3","ct_9","O","684a","CDD",917,"tr_6","35085",50,"NZ","Male",9446
"M_4_3","35","C","educ|1|3","ct_9","O","674c","TTP",431,"tr_4","35139",25,"NZ","Female",4384
"M_4_1","35","C","educ|1|3","ct_7","O","563c","CDI",534,"tr_1","35240",50,"TZ","Female",5726
"M_4_3","36","C","educ|1|3","ct_9","O","551a","CDI",1432,"tr_3","36069",21,"GZ","Female",7866
"M_3_2","37","C","educ|1|3","ct_7","O","563c","CDI",1534,"tr_0","37122",50,"TZ","Female",14281
"M_4_1","38","C","educ|1|3","ct_9","O","632a","CDI",2433,"tr_1","38161",28,"FZ","Male",21970
"M_4_1","38","P","educ|1|3","ct_1","O","523b","CDI",1820,"tr_3","38247",49,"PZ","Female",22340
"M_4_1","38","C","educ|1|3","ct_9","A","681a","APP",1826,"tr_3","38279",19,"FZ","Male",8513
"M_3_2","74","P","educ|1|3","ct_9","O","372c","CDI",23,"tr_1","38421",35,"NZ","Female",7983
"M_1_2","38","C","educ|1|3","ct_2","O","525a","AUT",1820,"tr_6","38421",47,"OZ","Female",19424
"M_4_2","94","C","educ|1|3","ct_9","O","465b","CDI",2028,"tr_3","39478",58,"JA","Male",58802
"M_1_1","42","C","educ|1|3","ct_9","O","623g","CDI",2035,"tr_5","42330",59,"CH","Male",21139
"M_4_1","44","C","educ|1|3","ct_9","O","554b","CDI",1864,"tr_1","44035",22,"GZ","Male",20110
"M_4_1","44","P","educ|1|3","ct_8","O","526a","CDI",912,"tr_3","44055",36,"QB","Female",8575
"M_4_1","44","C","educ|1|3","ct_9","O","634c","CDD",1931,"tr_3","44057",22,"GZ","Male",15656
"M_4_1","44","P","educ|1|3","ct_8","O","525a","CDI",1196,"tr_3","44109",52,"PZ","Female",11410
"M_1_1","44","C","educ|1|3","ct_6","O","681b","CDI",1659,"tr_4","44109",27,"FZ","Male",13059
"M_3_1","44","P","educ|1|3","ct_9","O","673c","TTP",833,"tr_1","44109",53,"NZ","Male",11919
"M_1_2","44","P","educ|1|3","ct_9","O","552a","CDI",524,"tr_6","44109",60,"GZ","Female",33354
"M_4_3","44","K","educ|1|3","ct_8","O","563b","CDD",1812,"tr_1","44154",36,"SZ","Female",14435
"M_4_1","44","C","educ|1|3","ct_9","O","643a","CDI",628,"tr_3","44184",27,"HZ","Male",18205
"M_4_1","44","C","educ|1|3","ct_6","O","633a","CDD",500,"tr_0","44190",30,"FZ","Male",9104
"M_4_1","56","C","educ|1|3","ct_9","A","683a","APP",1577,"tr_2","44217",19,"CA","Male",11229
"M_3_2","45","P","educ|1|3","ct_9","O","561b","CDI",386,"tr_1","45286",38,"IZ","Male",4050
"M_4_1","49","P","educ|1|3","ct_8","O","525a","CDI",770,"tr_1","49007",47,"PZ","Female",8293
"M_3_2","01","C","educ|1|3","ct_1","O","532c","AUT",1824,"tr_6","49054",20,"OZ","Male",17397
"M_4_1","49","C","educ|1|3","ct_2","O","621f","AUT",613,"tr_6","49221",60,"OZ","Male",7344
"M_4_1","49","C","educ|1|3","ct_9","O","676c","CDI",2005,"tr_2","49267",47,"GZ","Female",16314
"M_4_1","49","P","educ|1|3","ct_8","O","525d","CDI",922,"tr_4","49301",55,"QA","Female",6692
"M_1_2","49","P","educ|1|3","ct_8","X","676e","CDI",1035,"tr_4","49328",47,"QB","Female",3546
"M_3_2","49","C","educ|1|3","ct_2","O","621f","CDD",1536,"tr_1","49329",23,"QB","Female",14596
"M_3_2","50","C","educ|1|3","ct_9","O","634c","CDI",636,"tr_1","50095",19,"GZ","Male",5002
"M_1_1","50","F","educ|1|3","ct_7","O","563b","CDI",471,"tr_1","50129",54,"QB","Male",10009
"M_2_0","50","C","educ|1|3","ct_9","A","682a","APP",1820,"tr_2","50400",18,"CM","Male",9546
"M_4_1","54","P","educ|1|3","ct_3","O","526a","CDI",1637,"tr_6","54205",33,"QA","Female",19512
"M_4_1","54","P","educ|1|3","ct_6","O","554h","CDI",897,"tr_1","54395",60,"GZ","Female",9401
"M_3_2","56","C","educ|1|3","ct_9","O","674b","CDI",1819,"tr_6","56113",51,"CA","Male",18452
"M_1_1","56","C","educ|1|3","ct_2","X","524c","AUT",403,"tr_4","56197",59,"OZ","Male",3779
"M_4_1","56","C","educ|1|3","ct_9","O","643a","CDI",1757,"tr_6","56233",53,"CE","Male",16757
"M_4_1","57","C","educ|1|3","ct_9","O","632h","CDI",1820,"tr_2","57227",47,"FZ","Male",24176
"M_4_1","57","C","educ|1|3","ct_9","O","632j","CDI",1682,"tr_2","57413",47,"FZ","Male",20275
"M_4_1","57","C","educ|1|3","ct_5","O","644a","CDI",1950,"tr_4","57463",61,"EZ","Male",25137
"M_4_2","57","C","educ|1|3","ct_9","O","676c","TTP",666,"tr_1","57463",49,"NZ","Male",4612
"M_4_1","57","P","educ|1|3","ct_1","O","525b","TOA",1431,"tr_3","57465",56,"OZ","Female",11771
"M_4_1","57","C","educ|1|3","ct_9","O","479b","CDI",1780,"tr_5","57672",34,"CL","Male",35602
"M_4_2","69","C","educ|1|3","ct_9","O","633a","CDI",1654,"tr_5","57708",49,"FZ","Male",24157
"M_4_4","59","P","educ|1|3","ct_9","O","684a","CDI",1261,"tr_4","59122",37,"NZ","Female",10270
"M_4_2","59","C","educ|1|3","ct_8","X","676e","CDI",1806,"tr_5","59139",43,"QB","Male",8044
"M_4_1","59","C","educ|1|3","ct_9","O","643a","CDI",1819,"tr_0","59145",40,"HZ","Male",12512
"M_4_1","62","P","educ|1|3","ct_9","O","676e","TTP",1175,"tr_2","59163",34,"NZ","Male",16398
"M_4_1","59","C","educ|1|3","ct_6","O","636c","CDI",2098,"tr_1","59178",52,"CA","Male",19201
"M_4_1","59","C","educ|1|3","ct_9","O","676a","CDI",1820,"tr_5","59183",45,"GZ","Female",17147
"M_4_2","59","C","educ|1|3","ct_6","O","634b","CDI",1846,"tr_1","59286",52,"FZ","Male",21341
"M_4_1","59","P","educ|1|3","ct_8","O","676e","CDI",882,"tr_6","59350",48,"QB","Female",3513
"M_4_1","59","P","educ|1|3","ct_6","O","561e","CDI",1385,"tr_1","59352",52,"IZ","Male",18239
"M_4_1","59","C","educ|1|3","ct_9","O","676c","CDI",1680,"tr_1","59553",50,"GZ","Male",20795
"M_4_3","59","C","educ|1|3","ct_2","O","563a","AUT",1820,"tr_6","59560",63,"OZ","Female",25645
"M_4_4","59","C","educ|1|3","ct_9","O","624b","TTP",566,"tr_1","59580",27,"NZ","Male",5059
"M_4_2","59","C","educ|1|3","ct_9","O","676c","CDI",1820,"tr_3","59606",50,"GZ","Male",37955
"M_3_2","75","P","educ|1|3","ct_9","O","676a","CDI",456,"tr_1","60076",19,"GZ","Male",4920
"M_4_1","60","F","educ|1|3","ct_9","O","525d","CDI",466,"tr_5","60195",33,"QA","Female",5247
"M_4_1","60","C","educ|1|3","ct_8","O","525d","CDI",1776,"tr_3","60509",29,"QB","Female",14640
"M_4_1","60","P","educ|1|3","ct_9","O","632c","CDI",1038,"tr_2","60554",34,"FZ","Male",11727
"M_4_1","60","C","educ|1|3","ct_9","O","486b","CDI",2035,"tr_6","60586",46,"CG","Male",33298
"M_4_1","60","C","educ|1|3","ct_9","A","681b","APP",1932,"tr_5","60587",21,"FZ","Male",14023
"M_4_1","60","P","educ|1|3","ct_8","O","526d","CDI",1686,"tr_5","60626",33,"QB","Female",20092
"M_4_1","61","D","educ|1|3","ct_7","O","563a","CDI",3000,"tr_1","61011",44,"QB","Female",13245
"M_4_1","59","C","educ|1|3","ct_9","O","463b","CDI",574,"tr_3","62160",55,"CM","Female",8300
"M_4_1","62","P","educ|1|3","ct_8","O","434d","CDI",1909,"tr_2","62162",29,"QB","Female",20967
"M_4_3","62","P","educ|1|3","ct_8","O","526d","CDI",1380,"tr_2","62193",41,"QA","Female",13433
"M_4_2","62","C","educ|1|3","ct_8","X","676e","CDI",1804,"tr_5","62193",49,"QB","Male",8640
"M_4_2","62","C","educ|1|3","ct_9","O","641a","CDI",2383,"tr_3","62329",55,"HZ","Male",20499
"M_4_1","80","C","educ|1|3","ct_9","O","551a","CDI",1926,"tr_4","62498",43,"GZ","Female",14856
"M_1_2","62","P","educ|1|3","ct_8","O","434e","CDI",259,"tr_3","62758",53,"QB","Female",4432
"M_4_3","64","P","educ|1|3","ct_9","O","542a","CDI",1152,"tr_1","64348",58,"QA","Female",11966
"M_1_2","66","K","educ|1|3","ct_9","O","551a","CDD",899,"tr_6","66136",45,"GZ","Female",16050
"M_2_0","67","P","educ|1|3","ct_9","O","684a","CDI",1137,"tr_6","67043",35,"NZ","Female",9187
"M_4_3","67","C","educ|1|3","ct_9","O","546c","CDD",1444,"tr_3","67135",48,"HZ","Female",16209
"M_4_2","67","P","educ|1|3","ct_9","O","671c","CDI",377,"tr_1","67154",57,"FZ","Male",3707
"M_4_1","67","C","educ|1|3","ct_9","O","673a","CDI",1826,"tr_6","67205",41,"CL","Female",29172
"M_4_1","67","C","educ|1|3","ct_9","O","636c","CDI",2500,"tr_5","67472",44,"GZ","Male",24461
"M_4_2","68","C","educ|1|3","ct_9","O","673c","CDI",1829,"tr_6","68056",57,"CL","Male",22351
"M_4_1","68","P","educ|1|3","ct_8","O","433a","CDI",1486,"tr_6","68224",30,"QA","Female",19720
"M_4_1","68","Y","educ|1|3","ct_8","O","637c","TOA",426,"tr_3","68224",43,"RZ","Male",10506
"M_4_2","68","C","educ|1|3","ct_9","O","652a","CDI",639,"tr_5","68334",57,"NZ","Male",4694
"M_4_1","68","P","educ|1|3","ct_9","O","636c","CDI",275,"tr_1","68379",48,"CA","Male",3732
"M_4_1","69","P","educ|1|3","ct_9","O","467c","CDI",470,"tr_1","69027",58,"KZ","Female",7875
"M_4_1","69","C","educ|1|3","ct_9","O","554e","CDD",442,"tr_1","69028",28,"GZ","Female",16249
"M_1_1","69","P","educ|1|3","ct_9","O","673c","CDI",324,"tr_1","69029",39,"CI","Male",3331
"M_4_4","69","C","educ|1|3","ct_9","O","632a","CDI",1771,"tr_1","69087",43,"FZ","Male",43143
"M_1_1","69","C","educ|1|3","ct_8","O","526d","CDI",1820,"tr_3","69295",43,"QB","Male",20184
"M_4_1","69","C","educ|1|3","ct_9","O","387a","CDI",1819,"tr_5","69386",41,"RZ","Male",27390
"M_4_1","69","C","educ|1|3","ct_9","O","621g","CDI",1949,"tr_4","69389",55,"NZ","Male",21196
"M_4_1","72","C","educ|1|3","ct_6","A","631a","APP",1245,"tr_1","72181",19,"NZ","Male",7146
"M_4_1","72","P","educ|1|3","ct_8","O","684a","CDI",1213,"tr_4","72264",57,"QB","Female",10007
"M_4_3","74","D","educ|1|3","ct_7","O","563a","CDI",2200,"tr_1","74010",36,"QB","Female",10205
"M_4_2","74","P","educ|1|3","ct_8","O","641a","CDI",842,"tr_4","74073",43,"QB","Male",3436
"M_4_1","74","C","educ|1|3","ct_7","O","563c","CDI",213,"tr_1","74209",26,"TZ","Female",4483
"M_4_1","74","P","educ|1|3","ct_9","O","525d","CDI",640,"tr_6","74225",28,"QA","Female",4573
"M_1_2","93","C","educ|1|3","ct_9","O","465a","CDI",2028,"tr_3","75115",42,"GZ","Female",42714
"M_2_0","76","C","educ|1|3","ct_9","O","621b","CDI",2028,"tr_1","76216",41,"FZ","Male",22606
"M_4_1","76","C","educ|1|3","ct_9","O","632f","CDI",863,"tr_2","76217",40,"FZ","Male",10007
"M_4_3","76","F","educ|1|3","ct_8","X","526a","AUT",512,"tr_4","76351",27,"QB","Female",5315
"M_4_1","76","C","educ|1|3","ct_9","O","387b","CDI",1820,"tr_1","76509",29,"GZ","Male",19633
"M_4_3","77","C","educ|1|3","ct_8","O","542a","CDD",472,"tr_5","77014",35,"QB","Female",5013
"M_1_1","92","C","educ|1|3","ct_9","O","372a","CDI",2200,"tr_6","77108",37,"MA","Male",71491
"M_2_0","94","C","educ|1|3","ct_9","O","634c","CDI",1827,"tr_3","77146",34,"GZ","Male",23485
"M_4_1","77","C","educ|1|3","ct_9","O","652a","CDI",1523,"tr_5","77268",43,"HZ","Male",20509
"M_4_1","94","P","educ|1|3","ct_8","O","526d","CDI",364,"tr_4","77316",36,"QB","Female",3461
"M_1_1","78","C","educ|1|3","ct_8","O","564a","CDI",1579,"tr_1","78586",51,"NZ","Male",19575
"M_4_1","79","C","educ|1|3","ct_8","O","534a","CDI",511,"tr_3","79013",49,"NZ","Male",3273
"M_4_1","81","C","educ|1|3","ct_9","O","627a","CDI",151,"tr_2","81105",62,"CB","Male",3139
"M_4_1","83","C","educ|1|3","ct_8","O","526a","CDD",765,"tr_6","83012",41,"OZ","Female",9372
"M_3_2","83","C","educ|1|3","ct_8","O","526a","CDI",1683,"tr_3","83049",25,"QB","Female",3493
"M_4_1","06","P","educ|1|3","ct_9","O","684a","CDI",1146,"tr_6","83118",55,"NZ","Female",9004
"M_4_1","83","C","educ|1|3","ct_9","O","542a","CDI",2028,"tr_1","83137",55,"CK","Female",26117
"M_4_1","83","P","educ|1|3","ct_9","O","553c","CDI",435,"tr_5","83140",22,"GZ","Female",3508
"M_4_1","86","D","educ|1|3","ct_7","O","563a","CDI",3000,"tr_1","86115",38,"QB","Female",7873
"M_4_1","86","C","educ|1|3","ct_8","O","526a","CDI",1864,"tr_3","86158",40,"QB","Female",16248
"M_4_1","87","C","educ|1|3","ct_9","O","643a","CDI",2299,"tr_1","87085",59,"GZ","Male",24583
"M_3_2","91","C","educ|1|3","ct_9","O","543b","TTP",1646,"tr_6","91106",39,"NZ","Female",26216
"M_4_2","91","C","educ|1|3","ct_9","O","684b","CDI",1820,"tr_3","91174",29,"EZ","Male",15815
"M_4_1","93","C","educ|1|3","ct_4","O","525d","CDI",1820,"tr_3","91191",46,"OZ","Female",49822
"M_4_1","93","C","educ|1|3","ct_3","O","523d","CDI",1820,"tr_6","91345",37,"QA","Female",14582
"M_4_1","94","P","educ|1|3","ct_6","O","526b","CDI",1336,"tr_1","91377",57,"QA","Female",15836
"M_4_1","91","C","educ|1|3","ct_9","O","526a","CDI",1280,"tr_3","91477",55,"QB","Female",17175
"M_4_1","91","C","educ|1|3","ct_9","O","684a","CDI",1820,"tr_6","91549",59,"NZ","Female",26299
"M_1_2","94","C","educ|1|3","ct_9","O","542a","CDI",1930,"tr_6","91589",63,"HZ","Female",37853
"M_4_1","92","P","educ|1|3","ct_9","O","543b","CDI",679,"tr_2","92051",40,"MA","Female",20544
"M_4_1","75","C","educ|1|3","ct_8","O","684a","CDI",1404,"tr_1","93031",58,"NZ","Male",12721
"M_4_1","93","C","educ|1|3","ct_9","O","554e","CDD",1798,"tr_1","93066",36,"GZ","Female",15492
"M_4_1","94","C","educ|1|3","ct_1","O","524b","CDI",1868,"tr_4","94016",30,"OZ","Female",19965
"M_4_4","75","C","educ|1|3","ct_9","O","374d","CDI",2400,"tr_4","94078",39,"LZ","Male",67729
"M_4_1","93","P","educ|1|3","ct_9","O","624f","CDI",292,"tr_0","95019",34,"CC","Male",3969
"M_4_3","95","C","educ|1|3","ct_9","O","526b","CDI",1516,"tr_1","95288",60,"QA","Female",19853
"M_1_1","06","C","educ|1|4","ct_9","O","551a","CDI",1733,"tr_5","06029",27,"GZ","Male",14673
"M_4_2","06","C","educ|1|4","ct_9","O","636d","CDD",672,"tr_2","06085",29,"IZ","Male",16418
"M_4_3","12","P","educ|1|4","ct_8","O","563b","CDI",933,"tr_3","12134",45,"QB","Female",9737
"M_4_1","67","C","educ|1|4","ct_9","O","546b","CDI",1820,"tr_2","13039",49,"NZ","Female",24512
"M_4_1","13","C","educ|1|4","ct_8","O","526d","CDI",1820,"tr_5","13059",40,"QB","Female",17788
"M_4_1","13","P","educ|1|4","ct_1","O","422e","CDD",1129,"tr_4","13118",26,"PZ","Male",11175
"M_4_1","13","P","educ|1|4","ct_9","O","643a","CDI",998,"tr_2","13206",30,"IZ","Male",16732
"M_4_2","13","C","educ|1|4","ct_9","O","643a","CDI",1803,"tr_5","13206",41,"HZ","Male",19404
"M_1_2","13","P","educ|1|4","ct_8","O","461d","CDI",1014,"tr_6","13211",54,"OZ","Female",16082
"M_4_1","16","F","educ|1|4","ct_6","O","525d","CDI",409,"tr_3","16183",26,"QB","Female",4335
"M_4_1","17","C","educ|1|4","ct_9","O","525d","CDI",1892,"tr_4","17028",50,"QB","Female",15264
"M_4_1","33","C","educ|1|4","ct_9","O","526b","CDI",1603,"tr_2","24156",50,"QA","Female",36268
"M_4_1","29","C","educ|1|4","ct_8","O","435b","CDI",1820,"tr_1","29106",44,"RZ","Female",17171
"M_4_1","34","C","educ|1|4","ct_8","O","526d","CDI",1821,"tr_5","30243",41,"QB","Female",19616
"M_4_2","33","C","educ|1|4","ct_9","O","382d","CDI",1688,"tr_3","33056",32,"FZ","Male",29750
"M_1_1","33","P","educ|1|4","ct_9","O","534a","CDI",65,"tr_3","33063",37,"IZ","Male",3286
"M_4_1","40","C","educ|1|4","ct_8","O","526d","CDI",1814,"tr_4","33145",51,"QB","Female",20178
"M_3_2","33","C","educ|1|4","ct_9","O","526b","CDI",2031,"tr_1","33293",33,"QA","Female",20552
"M_4_1","35","C","educ|1|4","ct_9","A","462e","APP",611,"tr_5","35208",18,"JB","Male",3490
"M_4_1","35","C","educ|1|4","ct_9","O","542a","CDI",1820,"tr_3","35238",46,"MA","Female",22803
"M_4_1","37","C","educ|1|4","ct_6","X","542a","AUT",1820,"tr_1","37273",30,"GZ","Female",13304
"M_4_1","01","C","educ|1|4","ct_8","O","373b","CDI",1820,"tr_1","38097",35,"PZ","Female",42688
"M_4_1","69","C","educ|1|4","ct_3","O","526a","CDD",1820,"tr_5","38185",50,"QA","Female",19370
"M_4_1","38","C","educ|1|4","ct_9","O","643a","CDI",1848,"tr_3","38185",47,"GZ","Male",21530
"M_4_2","69","C","educ|1|4","ct_9","O","632a","TTP",2392,"tr_5","38185",40,"NZ","Male",20467
"M_4_1","38","C","educ|1|4","ct_4","O","524c","CDI",1820,"tr_2","38197",49,"OZ","Female",32647
"M_3_2","85","C","educ|1|4","ct_9","O","526e","CDI",1866,"tr_1","44013",27,"QA","Female",16993
"M_4_3","44","C","educ|1|4","ct_6","O","653a","CDI",487,"tr_1","44162",21,"NZ","Male",5932
"M_4_1","92","C","educ|1|4","ct_9","O","423b","CDI",1820,"tr_6","54018",23,"MA","Female",19263
"M_2_0","54","C","educ|1|4","ct_8","X","525d","AUT",1789,"tr_3","54547",25,"QB","Female",15597
"M_3_2","54","C","educ|1|4","ct_8","O","543h","CDI",1567,"tr_5","54547",44,"QA","Female",14731
"M_4_1","56","C","educ|1|4","ct_9","O","551a","CDI",1888,"tr_2","56016",40,"GZ","Female",15026
"M_1_2","57","C","educ|1|4","ct_8","O","526a","CDI",1820,"tr_3","57463",27,"QA","Female",18512
"M_4_1","59","C","educ|1|4","ct_9","O","461f","CDI",1826,"tr_5","59041",49,"JA","Female",38698
"M_1_1","59","C","educ|1|4","ct_9","O","634c","CDI",1820,"tr_1","59178",33,"GZ","Male",24211
"M_4_1","57","C","educ|1|4","ct_9","O","641a","CDI",2200,"tr_3","59304",33,"HZ","Male",24560
"M_4_1","59","P","educ|1|4","ct_8","X","435b","AUT",1397,"tr_3","59350",24,"QB","Male",10113
"M_4_1","59","P","educ|1|4","ct_8","O","525d","CDI",1229,"tr_5","59400",42,"QB","Male",11816
"M_4_1","59","C","educ|1|4","ct_8","O","525d","CDI",1830,"tr_3","59497",42,"QB","Male",16921
